"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","GFCFSECTOR","CORP","PC_GFCF","A","2019",58.9369418762303,
"ITA","GFCFSECTOR","CORP","PC_GFCF","A","2020",57.3746755999203,
"ITA","GFCFSECTOR","CORP","PC_GFCF","A","2021",54.4054186638603,
"ITA","GFCFSECTOR","CORP","PC_GFCF","A","2022",55.5447465435017,
"CZE","GFCFSECTOR","CORP","PC_GFCF","A","2018",65.7206765311056,
"CZE","GFCFSECTOR","CORP","PC_GFCF","A","2019",65.0599442977963,
"CZE","GFCFSECTOR","CORP","PC_GFCF","A","2020",61.9938810802394,
"CZE","GFCFSECTOR","CORP","PC_GFCF","A","2021",62.022002036806,
"FIN","GFCFSECTOR","CORP","PC_GFCF","A","2018",52.5442123616696,
"FIN","GFCFSECTOR","CORP","PC_GFCF","A","2019",52.0499046352517,
"FIN","GFCFSECTOR","CORP","PC_GFCF","A","2020",50.8937463961839,
"FIN","GFCFSECTOR","CORP","PC_GFCF","A","2021",52.7077094858651,
"FIN","GFCFSECTOR","CORP","PC_GFCF","A","2022",53.4420344963952,
"SWE","GFCFSECTOR","CORP","PC_GFCF","A","2018",67.1568990335184,
"SWE","GFCFSECTOR","CORP","PC_GFCF","A","2019",66.8336848937206,
"SWE","GFCFSECTOR","CORP","PC_GFCF","A","2020",66.0187315876648,
"SWE","GFCFSECTOR","CORP","PC_GFCF","A","2021",66.9536423367119,
"GRC","GFCFSECTOR","CORP","PC_GFCF","A","2018",56.5724374637668,
"GRC","GFCFSECTOR","CORP","PC_GFCF","A","2019",60.3034686125931,"E"
"GRC","GFCFSECTOR","CORP","PC_GFCF","A","2020",55.9554900303432,"E"
"GRC","GFCFSECTOR","CORP","PC_GFCF","A","2021",54.7409654681522,"E"
"DNK","GFCFSECTOR","CORP","PC_GFCF","A","2018",63.9537567531685,
"DNK","GFCFSECTOR","CORP","PC_GFCF","A","2019",63.6561431100481,
"DNK","GFCFSECTOR","CORP","PC_GFCF","A","2020",63.3498869937639,
"DNK","GFCFSECTOR","CORP","PC_GFCF","A","2021",64.3576301184517,
"DNK","GFCFSECTOR","CORP","PC_GFCF","A","2022",66.2615754060503,
"ESP","GFCFSECTOR","CORP","PC_GFCF","A","2018",71.7781500538471,
"ESP","GFCFSECTOR","CORP","PC_GFCF","A","2019",71.8342939134756,
"ESP","GFCFSECTOR","CORP","PC_GFCF","A","2020",69.1055302880496,
"ESP","GFCFSECTOR","CORP","PC_GFCF","A","2021",64.0662334940264,
"LUX","GFCFSECTOR","CORP","PC_GFCF","A","2018",48.6403810423232,
"LUX","GFCFSECTOR","CORP","PC_GFCF","A","2019",52.9927679764153,
"LUX","GFCFSECTOR","CORP","PC_GFCF","A","2020",48.0209083343463,
"LUX","GFCFSECTOR","CORP","PC_GFCF","A","2021",50.1989334492385,
"BEL","GFCFSECTOR","CORP","PC_GFCF","A","2018",65.7100950253183,
"BEL","GFCFSECTOR","CORP","PC_GFCF","A","2019",65.6940348787882,
"BEL","GFCFSECTOR","CORP","PC_GFCF","A","2020",65.2912811156002,"E"
"BEL","GFCFSECTOR","CORP","PC_GFCF","A","2021",64.4789637300582,"E"
"SVN","GFCFSECTOR","CORP","PC_GFCF","A","2018",60.7764544850828,
"SVN","GFCFSECTOR","CORP","PC_GFCF","A","2019",60.8164008938896,
"SVN","GFCFSECTOR","CORP","PC_GFCF","A","2020",58.8389016972847,
"SVN","GFCFSECTOR","CORP","PC_GFCF","A","2021",57.7900539998908,
"SVK","GFCFSECTOR","CORP","PC_GFCF","A","2018",61.831455455487,
"SVK","GFCFSECTOR","CORP","PC_GFCF","A","2019",63.5724083360514,
"SVK","GFCFSECTOR","CORP","PC_GFCF","A","2020",59.2516038991455,
"SVK","GFCFSECTOR","CORP","PC_GFCF","A","2021",59.7816573391175,
"DEU","GFCFSECTOR","CORP","PC_GFCF","A","2018",59.3279534628508,
"DEU","GFCFSECTOR","CORP","PC_GFCF","A","2019",59.7870847202372,"E"
"DEU","GFCFSECTOR","CORP","PC_GFCF","A","2020",57.2471259137102,"E"
"DEU","GFCFSECTOR","CORP","PC_GFCF","A","2021",57.0905481472409,"E"
"DEU","GFCFSECTOR","CORP","PC_GFCF","A","2022",56.776512263767,"E"
"AUT","GFCFSECTOR","CORP","PC_GFCF","A","2018",65.4089147850479,
"AUT","GFCFSECTOR","CORP","PC_GFCF","A","2019",65.7389740065489,
"AUT","GFCFSECTOR","CORP","PC_GFCF","A","2020",64.0051921995282,
"AUT","GFCFSECTOR","CORP","PC_GFCF","A","2021",64.005322749827,
"EST","GFCFSECTOR","CORP","PC_GFCF","A","2018",62.1308512303773,
"EST","GFCFSECTOR","CORP","PC_GFCF","A","2019",59.761887888881,
"EST","GFCFSECTOR","CORP","PC_GFCF","A","2020",63.2237195506458,
"EST","GFCFSECTOR","CORP","PC_GFCF","A","2021",61.9598510389811,
"LVA","GFCFSECTOR","CORP","PC_GFCF","A","2018",58.211314533932,
"LVA","GFCFSECTOR","CORP","PC_GFCF","A","2019",61.9401333124551,
"LVA","GFCFSECTOR","CORP","PC_GFCF","A","2020",60.338674881225,
"LVA","GFCFSECTOR","CORP","PC_GFCF","A","2021",62.9565379023781,
"LTU","GFCFSECTOR","CORP","PC_GFCF","A","2018",64.8450544723294,
"LTU","GFCFSECTOR","CORP","PC_GFCF","A","2019",64.9685198611237,
"LTU","GFCFSECTOR","CORP","PC_GFCF","A","2020",57.2414538024672,
"LTU","GFCFSECTOR","CORP","PC_GFCF","A","2021",64.1435290806551,
